chr,start,end,label
chr15,896250,896749,0
chr15,908149,908648,1
chr15,931296,931795,0
chr15,981332,981831,1
chr15,1004232,1004731,0
chr15,1034420,1034919,0
chr15,1053419,1053918,1
chr16,6836,7335,0
chr16,7523,8022,0
chr16,8294,8793,0
chr16,9421,9920,0
chr16,12445,12944,0
chr16,13524,14023,0
chr16,14220,14719,0
chr16,16767,17266,0
chr16,23164,23663,0
chr16,23348,23847,0
chr16,35982,36481,0
chr16,36490,36989,0
chr16,38907,39406,0
chr16,42721,43220,1
chr16,73009,73508,1
chr16,96446,96945,0
chr16,116351,116850,1
chr16,137906,138405,0
chr16,167961,168460,0
chr16,289257,289756,1
chr16,329023,329522,0
chr16,331593,332092,1
chr16,341504,342003,0
chr16,369996,370495,0
chr16,384293,384792,1
chr16,418020,418519,1
chr16,456466,456965,1
chr16,458588,459087,0
chr16,481043,481542,0
chr16,511460,511959,1
chr16,563582,564081,1
chr16,564913,565412,1
chr16,583995,584494,1
chr16,633839,634338,1
chr16,684160,684659,1
chr16,695396,695895,1
chr16,718376,718875,0
chr16,749008,749507,1
chr16,776744,777243,1
chr16,801920,802419,0
chr16,815674,816173,0
chr16,818960,819459,1
chr16,842595,843094,1
chr16,880682,881181,1
chr16,932894,933393,1
